epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
17,141.343,0.13893,0.89124,0.90091,0.87688,0.66344,0.80797,0.79974,0.08466,5.77613,0.09541,0.000600902,0.000600902,0.000600902
18,149.331,0.13257,0.87689,0.90368,0.79035,0.72423,0.79861,0.79197,0.09402,11.6485,0.10376,0.000593834,0.000593834,0.000593834
19,157.396,0.12641,0.85468,0.89462,0.83357,0.7454,0.82745,0.81243,0.13909,9.40039,0.1046,0.000586765,0.000586765,0.000586765
20,165.884,0.12847,0.84704,0.89264,0.73107,0.83711,0.83577,0.82958,0.12403,0.91423,0.10099,0.000579697,0.000579697,0.000579697
21,173.959,0.13572,0.82591,0.90165,0.83702,0.72876,0.86648,0.86548,0.12316,9.46046,0.09952,0.000572628,0.000572628,0.000572628
22,181.802,0.12926,0.80298,0.895,0.7815,0.77031,0.83964,0.82819,0.0986,1.30292,0.10125,0.000565559,0.000565559,0.000565559
23,189.772,0.12786,0.76119,0.89995,0.87218,0.671,0.7987,0.79606,0.07692,7.71642,0.07745,0.000558491,0.000558491,0.000558491
24,197.813,0.12085,0.77816,0.90112,0.82666,0.80469,0.89787,0.89708,0.09044,3.64815,0.07825,0.000551422,0.000551422,0.000551422
25,206.439,0.11902,0.75552,0.89282,0.72912,0.75395,0.79514,0.79325,0.09376,2.78558,0.08317,0.000544354,0.000544354,0.000544354
26,214.927,0.11403,0.75893,0.89503,0.85477,0.75937,0.87516,0.87073,0.09676,0.58737,0.09505,0.000537285,0.000537285,0.000537285
27,223.307,0.12032,0.72431,0.9022,0.88934,0.85471,0.9189,0.90741,0.06351,5.45941,0.07664,0.000530216,0.000530216,0.000530216
28,231.511,0.11665,0.71539,0.89706,0.79531,0.85493,0.89283,0.88445,0.10354,1.44726,0.10184,0.000523148,0.000523148,0.000523148
29,239.551,0.11843,0.72395,0.90212,0.77419,0.77872,0.86112,0.85336,0.0994,8.43931,0.07868,0.000516079,0.000516079,0.000516079
30,247.95,0.12016,0.70698,0.90502,0.7765,0.80734,0.8364,0.81568,0.14827,5.20095,0.10909,0.000509011,0.000509011,0.000509011
31,256.079,0.11169,0.71638,0.89697,0.90744,0.75305,0.8865,0.87846,0.13685,0.72368,0.11065,0.000501942,0.000501942,0.000501942
32,263.934,0.10986,0.69274,0.8955,0.95267,0.78407,0.89619,0.8952,0.06999,0.92909,0.07452,0.000494873,0.000494873,0.000494873
33,272.095,0.11341,0.68954,0.8984,0.73743,0.78887,0.82825,0.82541,0.0945,0.86525,0.08689,0.000487805,0.000487805,0.000487805
34,280.271,0.10246,0.66763,0.88947,0.86897,0.79861,0.88135,0.86476,0.10684,3.66336,0.10456,0.000480736,0.000480736,0.000480736
35,288.546,0.10446,0.653,0.89131,0.91602,0.79091,0.89936,0.89019,0.09413,2.90398,0.08031,0.000473668,0.000473668,0.000473668
36,296.792,0.09888,0.65385,0.89199,0.83796,0.79245,0.86992,0.86875,0.06006,0.69302,0.06854,0.000466599,0.000466599,0.000466599
37,304.705,0.09941,0.63315,0.89962,0.84879,0.81813,0.89309,0.88654,0.08344,1.44785,0.08719,0.00045953,0.00045953,0.00045953
38,312.557,0.09939,0.63308,0.89794,0.8317,0.8839,0.88118,0.87998,0.08468,2.36426,0.07423,0.000452462,0.000452462,0.000452462
39,320.775,0.09634,0.59991,0.89498,0.92352,0.90409,0.94381,0.94145,0.09012,2.9301,0.07353,0.000445393,0.000445393,0.000445393
40,329.377,0.09561,0.60242,0.89016,0.84481,0.80219,0.87155,0.86211,0.11787,0.91369,0.09663,0.000438325,0.000438325,0.000438325
41,337.294,0.09582,0.62321,0.8926,0.84963,0.92273,0.93309,0.91774,0.08625,7.20676,0.08219,0.000431256,0.000431256,0.000431256
42,345.319,0.09752,0.56973,0.88564,0.93589,0.8619,0.95436,0.95278,0.07585,1.74502,0.06651,0.000424187,0.000424187,0.000424187
43,353.607,0.09425,0.5767,0.89239,0.88145,0.85676,0.90971,0.89328,0.12491,2.97935,0.1013,0.000417119,0.000417119,0.000417119
44,361.843,0.09255,0.59111,0.89572,0.82717,0.86263,0.88191,0.87853,0.07965,1.0218,0.06929,0.00041005,0.00041005,0.00041005
45,370.232,0.09526,0.56322,0.90279,0.8002,0.75317,0.81147,0.80678,0.07848,3.83603,0.07278,0.000402982,0.000402982,0.000402982
46,378.359,0.09249,0.57096,0.89176,0.88872,0.8774,0.93755,0.92927,0.09227,1.13796,0.08158,0.000395913,0.000395913,0.000395913
47,386.515,0.09434,0.58447,0.89361,0.87929,0.91283,0.95402,0.95341,0.09648,1.1879,0.07615,0.000388844,0.000388844,0.000388844
48,394.368,0.09491,0.57512,0.88753,0.8208,0.81741,0.83022,0.8285,0.07681,7.43453,0.06404,0.000381776,0.000381776,0.000381776
49,402.088,0.08556,0.53349,0.88719,0.88506,0.82027,0.90128,0.8998,0.06959,4.03585,0.05946,0.000374707,0.000374707,0.000374707
50,410.242,0.09131,0.53088,0.89385,0.86684,0.80913,0.90429,0.90347,0.08054,3.59417,0.06835,0.000367639,0.000367639,0.000367639
51,418.274,0.08584,0.55581,0.88926,0.87501,0.87655,0.91025,0.90729,0.08398,2.18772,0.07144,0.00036057,0.00036057,0.00036057
52,426.054,0.08807,0.54603,0.88971,0.8094,0.90648,0.93542,0.92774,0.08651,0.47202,0.07928,0.000353501,0.000353501,0.000353501
53,434.238,0.08864,0.51935,0.89335,0.88579,0.89148,0.95349,0.95092,0.09391,0.50739,0.08147,0.000346433,0.000346433,0.000346433
54,442.401,0.08797,0.52618,0.8963,0.87722,0.84981,0.9259,0.92234,0.07438,1.52506,0.07731,0.000339364,0.000339364,0.000339364
55,450.867,0.0869,0.51144,0.89127,0.94921,0.92649,0.98118,0.9776,0.08797,0.35363,0.07949,0.000332296,0.000332296,0.000332296
56,459.597,0.08347,0.49383,0.88879,0.91605,0.88666,0.94721,0.93891,0.07909,1.38539,0.07402,0.000325227,0.000325227,0.000325227
57,467.63,0.08584,0.51394,0.89683,0.8658,0.91243,0.94034,0.9385,0.07958,2.25737,0.07228,0.000318158,0.000318158,0.000318158
58,475.547,0.08253,0.4804,0.88991,0.92754,0.87682,0.95131,0.94767,0.08263,0.98673,0.07702,0.00031109,0.00031109,0.00031109
59,483.793,0.07745,0.47344,0.88665,0.89735,0.88641,0.94862,0.94689,0.07319,0.99775,0.05862,0.000304021,0.000304021,0.000304021
60,492.127,0.07758,0.48202,0.88961,0.89537,0.89908,0.94438,0.94239,0.06032,0.78705,0.06239,0.000296953,0.000296953,0.000296953
61,499.986,0.07704,0.48698,0.89295,0.90001,0.88632,0.93782,0.93306,0.06892,0.52234,0.06797,0.000289884,0.000289884,0.000289884
62,507.771,0.07643,0.48178,0.89313,0.89308,0.84044,0.88838,0.88689,0.07154,1.01681,0.06559,0.000282815,0.000282815,0.000282815
63,516.07,0.0791,0.4741,0.89561,0.88228,0.93269,0.96409,0.96274,0.06322,1.63135,0.05972,0.000275747,0.000275747,0.000275747
64,524.211,0.07808,0.47345,0.89474,0.90316,0.86968,0.92407,0.91731,0.07599,0.58558,0.07289,0.000268678,0.000268678,0.000268678
65,531.957,0.0741,0.47215,0.88864,0.91918,0.86427,0.93728,0.93592,0.06703,1.26258,0.0624,0.00026161,0.00026161,0.00026161
66,539.923,0.07442,0.46175,0.89349,0.92378,0.84366,0.94985,0.93777,0.08014,1.43815,0.06744,0.000254541,0.000254541,0.000254541
67,548.318,0.07152,0.47185,0.88538,0.93922,0.93593,0.96335,0.95555,0.08056,0.53199,0.07071,0.000247472,0.000247472,0.000247472
68,556.196,0.07426,0.44188,0.89595,0.94261,0.91341,0.95164,0.94901,0.07188,0.85355,0.06533,0.000240404,0.000240404,0.000240404
69,564.278,0.07062,0.43579,0.88442,0.94527,0.93671,0.97667,0.97506,0.06487,2.14445,0.06253,0.000233335,0.000233335,0.000233335
70,572.776,0.07395,0.42437,0.88687,0.93169,0.95105,0.96854,0.9671,0.07472,0.6004,0.06768,0.000226267,0.000226267,0.000226267
71,581.251,0.07057,0.41797,0.89162,0.93192,0.93787,0.97446,0.97301,0.0708,0.61689,0.06096,0.000219198,0.000219198,0.000219198
72,589.287,0.06784,0.40661,0.89561,0.90694,0.9128,0.9396,0.93825,0.0771,0.88171,0.06874,0.000212129,0.000212129,0.000212129
73,598.08,0.06609,0.40831,0.89141,0.96638,0.93308,0.9785,0.97452,0.08251,0.68485,0.07282,0.000205061,0.000205061,0.000205061
74,606.291,0.06493,0.41083,0.88759,0.95345,0.89821,0.96782,0.9659,0.08895,1.77374,0.07538,0.000197992,0.000197992,0.000197992
75,614.091,0.06546,0.41333,0.88583,0.93009,0.9532,0.97073,0.96529,0.10547,0.43264,0.08574,0.000190924,0.000190924,0.000190924
